customerNumber (CIF),dateOfBirth,branchNumber,citizenshipCode,currCountryCode,employmentStatus,incomeInThousands,marketSegment,maritalStatus,stateCode,City,customerOpeningDate,Gender
88574475,18/09/1999,884,US,USD,salaried,641217,Standard,married,IL,Chicago,07/26/2018,Male
32103932,04/02/2000,88,US,USD,employed,674062,behavioral,separated,WI,Milwaukee,04/18/2018,Female
32228421,23/12/1996,586,US,USD,employed,1721397,psychographic,single,KS,Kansas City,02/01/2018,Female
84620392,18/11/2002,425,US,USD,unemployed,1655988,Standard,married,TX,Austin,10/16/2020,Female
98526163,23/06/2001,801,US,USD,self-employed,1679654,behavioral,separated,CA,San Rafael,01/30/2017,Female
40466254,08/10/1998,451,US,USD,unemployed,1143369,demographic,single,KS,Wichita,01/15/2017,Male
58174047,25/04/2001,379,US,USD,unemployed,1356301,geographic,separated,MO,Saint Louis,10/01/2015,Female
32342967,06/07/1990,191,US,USD,employed,1200668,geographic,single,CA,Santa Clara,01/05/2022,Female
85103824,19/08/1992,106,US,USD,employed,822899,psychographic,married,IL,Chicago,02/26/2021,Male
11737996,11/07/1996,502,US,USD,employed,1021565,demographic,married,PA,Philadelphia,09/17/2019,Female
77920255,05/09/1999,474,US,USD,employed,1797600,demographic,single,FL,Tampa,05/24/2015,Male
26819802,05/09/2004,916,US,USD,salaried,617100,psychographic,married,MD,Ridgely,06/10/2020,Female
84127797,06/02/2000,912,US,USD,salaried,10190,psychographic,married,AZ,Tucson,05/20/2018,Female
21198587,06/05/2001,442,US,USD,salaried,871390,geographic,separated,OH,Cincinnati,05/27/2016,Female
29359792,06/10/2001,51,US,USD,employed,1097720,psychographic,separated,FL,Boca Raton,10/20/2015,Female
51196919,04/12/2003,230,US,USD,salaried,1709936,psychographic,single,CA,Corona,07/14/2019,Male
30535724,26/01/2001,243,US,USD,salaried,654620,demographic,single,WA,Tacoma,01/31/2019,Female
69574018,04/12/1992,172,US,USD,unemployed,1510241,Standard,separated,GA,Marietta,10/23/2015,Male
41061205,04/02/2005,814,US,USD,self-employed,1521236,demographic,single,NY,White Plains,10/05/2020,Male
63998880,30/07/2003,797,US,USD,unemployed,492463,demographic,married,LA,New Orleans,11/05/2016,Male
22680601,03/12/2001,64,US,USD,employed,1935480,psychographic,married,NY,Syracuse,06/04/2017,Female
82645436,30/08/2003,78,US,USD,employed,96053,geographic,single,TX,Houston,07/25/2014,Male
14620766,03/09/1997,655,US,USD,self-employed,756972,demographic,separated,NC,Charlotte,03/10/2020,Male
20612519,30/10/1998,855,US,USD,self-employed,1916433,Standard,separated,CA,North Hollywood,12/11/2019,Male
71711781,05/11/1989,999,US,USD,salaried,1727134,behavioral,married,TX,El Paso,07/18/2021,Male
79478347,27/05/1990,719,US,USD,unemployed,1271957,Standard,separated,NY,Buffalo,09/07/2017,Male
63076023,20/06/1991,913,US,USD,unemployed,1056153,demographic,married,OK,Tulsa,12/04/2015,Female
16560585,08/10/1992,131,US,USD,employed,1542647,Standard,single,DC,Washington,04/24/2018,Male
90546907,09/11/2002,388,US,USD,employed,896893,behavioral,separated,NC,Fayetteville,12/20/2021,Female
16656716,29/06/1991,844,US,USD,unemployed,1204018,behavioral,single,IL,Chicago,01/17/2020,Male
90733103,16/08/1998,134,US,USD,employed,1163130,Standard,married,MO,Independence,02/01/2021,Female
87061832,16/12/1996,961,US,USD,unemployed,938704,demographic,married,LA,Lafayette,12/16/2016,Female
79146376,05/10/1999,172,US,USD,salaried,979144,psychographic,single,NC,Winston Salem,06/15/2017,Male
41885003,09/12/1995,738,US,USD,salaried,712695,geographic,separated,OH,Cleveland,12/15/2019,Male
62099146,03/05/1993,429,US,USD,unemployed,543995,Standard,single,GA,Atlanta,11/30/2016,Male
69949531,30/04/2004,583,US,USD,salaried,605420,geographic,married,KY,Louisville,03/26/2021,Non-binary
87557340,30/12/2002,694,US,USD,employed,400382,geographic,single,MI,Troy,08/01/2015,Male
86722160,01/03/1995,639,US,USD,salaried,604243,demographic,married,DC,Washington,01/09/2018,Male
77781408,09/10/1990,171,US,USD,employed,574537,psychographic,separated,TX,Fort Worth,03/18/2020,Male
34228539,16/07/1993,477,US,USD,unemployed,1803692,geographic,married,MO,Kansas City,11/30/2018,Female
98616009,18/11/1999,400,US,USD,salaried,913753,geographic,separated,TX,El Paso,01/01/2017,Genderfluid
17333081,05/12/1994,473,US,USD,salaried,657509,Standard,single,UT,Salt Lake City,10/26/2018,Male
59451801,04/04/2005,645,US,USD,self-employed,1295210,geographic,separated,DC,Washington,03/21/2020,Male
81886481,29/03/2004,906,US,USD,salaried,114711,Standard,single,FL,North Port,11/16/2017,Male
54878915,05/11/1990,398,US,USD,unemployed,1934138,geographic,single,PA,Harrisburg,02/09/2018,Polygender
52761175,13/01/1990,97,US,USD,salaried,1054738,behavioral,separated,FL,Orlando,04/19/2019,Male
16132345,17/10/1998,610,US,USD,self-employed,1333765,demographic,married,CA,Stockton,03/25/2019,Male
99606158,08/02/2002,78,US,USD,unemployed,1475905,geographic,separated,OH,Akron,10/31/2019,Male
16950710,19/06/1990,18,US,USD,employed,955697,geographic,single,DC,Washington,09/13/2017,Non-binary
14232352,19/11/1995,472,US,USD,self-employed,1957500,psychographic,married,MD,Bethesda,03/09/2015,Female
84891513,06/02/2003,835,US,USD,unemployed,515981,behavioral,single,CA,Fresno,05/03/2018,Genderqueer
