customerNumber (CIF),dateOfBirth,branchNumber,citizenshipCode,currCountryCode,employmentStatus,incomeInThousands,marketSegment,maritalStatus,stateCode,City,customerOpeningDate,Gender
38083997,31/08/1995,227,US,USD,unemployed,126413,psychographic,married,FL,Jacksonville,09/09/2018,Male
11236788,26/05/1991,565,US,USD,self-employed,159491,geographic,married,FL,Panama City,03/18/2018,Male
28731947,17/07/1998,475,US,USD,self-employed,1432261,demographic,separated,TX,San Antonio,12/17/2016,Agender
19016196,23/01/1995,220,US,USD,salaried,778667,demographic,separated,NY,New York City,01/06/2020,Female
74224158,03/07/1991,138,US,USD,unemployed,1523818,behavioral,separated,VA,Virginia Beach,04/14/2015,Female
25916816,03/11/1990,89,US,USD,salaried,737869,behavioral,separated,NY,New York City,11/05/2014,Female
23394303,06/06/1996,141,US,USD,self-employed,137821,demographic,separated,FL,Jacksonville,05/30/2021,Female
88505548,24/05/2001,27,US,USD,salaried,1820560,behavioral,single,VA,Arlington,10/06/2017,Female
92699743,23/04/2001,776,US,USD,self-employed,105178,behavioral,married,OK,Oklahoma City,02/03/2015,Female
15168867,10/01/2004,154,US,USD,unemployed,543180,psychographic,single,TX,Amarillo,03/02/2019,Female
81307620,12/08/1997,230,US,USD,employed,158854,psychographic,separated,VA,Richmond,10/05/2015,Male
15128633,24/01/1999,140,US,USD,salaried,484306,geographic,single,TX,Dallas,02/01/2021,Female
12438703,27/02/1991,943,US,USD,salaried,1494831,behavioral,married,TX,Irving,01/27/2017,Female
82975537,20/02/1992,290,US,USD,employed,1435505,Standard,single,GA,Columbus,08/17/2018,Male
60044724,24/06/1993,119,US,USD,unemployed,818730,demographic,separated,MD,Baltimore,04/04/2021,Male
27263482,13/07/1992,602,US,USD,employed,1583517,demographic,separated,HI,Honolulu,08/14/2016,Female
29499642,02/10/1999,921,US,USD,employed,1625388,geographic,single,MT,Billings,07/27/2016,Male
90002149,08/04/1994,398,US,USD,self-employed,1787894,demographic,single,NY,Brooklyn,05/22/2017,Male
23178131,09/07/1989,397,US,USD,unemployed,62848,psychographic,separated,MS,Jackson,11/14/2020,Male
96743796,20/11/2004,607,US,USD,employed,1783246,behavioral,married,PA,Erie,06/23/2021,Female
76469837,10/11/1990,391,US,USD,employed,435162,behavioral,single,DC,Washington,02/26/2015,Male
68722909,24/12/1995,920,US,USD,salaried,1748955,psychographic,separated,CA,San Luis Obispo,07/25/2014,Male
35582368,20/05/1992,945,US,USD,salaried,1601177,demographic,separated,NY,Buffalo,07/22/2019,Female
52370010,27/05/1993,113,US,USD,employed,632138,Standard,single,IN,South Bend,02/28/2016,Non-binary
49350460,06/02/2002,20,US,USD,unemployed,1466749,geographic,single,AR,Fort Smith,03/01/2022,Male
35865955,12/07/1997,952,US,USD,self-employed,1268920,behavioral,married,OR,Portland,06/26/2017,Male
96388230,29/12/2001,686,US,USD,salaried,1439043,demographic,separated,MN,Maple Plain,07/15/2014,Non-binary
21048539,06/01/2005,676,US,USD,unemployed,1013181,Standard,separated,OR,Salem,05/13/2020,Male
82308703,07/08/1990,899,US,USD,unemployed,1387127,Standard,single,MO,Lees Summit,12/16/2014,Female
65060210,11/08/2004,52,US,USD,salaried,282862,geographic,single,NY,Jamaica,08/16/2015,Female
35208635,27/03/1996,938,US,USD,employed,1739042,Standard,single,NY,Rochester,11/30/2018,Male
90607700,13/11/2002,279,US,USD,self-employed,12560,behavioral,married,GA,Atlanta,05/22/2021,Female
83212433,15/08/1990,496,US,USD,unemployed,1285288,Standard,single,MI,Detroit,11/26/2017,Female
56492515,18/08/1994,359,US,USD,unemployed,1404948,demographic,married,MO,Kansas City,04/25/2015,Female
49459278,13/12/1993,894,US,USD,employed,1819374,behavioral,single,WV,Charleston,03/25/2018,Male
99686847,13/12/1992,615,US,USD,employed,947044,geographic,separated,VA,Norfolk,06/25/2020,Male
99364010,27/02/1991,821,US,USD,salaried,956453,psychographic,single,IN,Indianapolis,04/01/2018,Female
88935359,26/09/1999,297,US,USD,employed,682847,psychographic,single,TX,Amarillo,07/25/2020,Male
74934420,05/10/1989,82,US,USD,unemployed,1607619,behavioral,separated,TX,San Antonio,06/04/2019,Female
38774721,20/08/1991,68,US,USD,unemployed,1309270,demographic,married,CA,Inglewood,07/11/2021,Female
28785646,05/04/1998,475,US,USD,unemployed,1983596,geographic,single,CA,Sacramento,08/23/2017,Male
22429798,09/06/1997,177,US,USD,self-employed,164969,psychographic,single,CA,Los Angeles,06/27/2017,Female
47713253,13/05/1992,872,US,USD,unemployed,37230,psychographic,single,CA,San Francisco,08/22/2020,Male
47054896,11/02/2003,748,US,USD,employed,1095852,psychographic,separated,NY,Brooklyn,08/18/2020,Male
31540538,01/02/1991,638,US,USD,self-employed,1584081,behavioral,single,GA,Atlanta,06/17/2019,Female
27140269,19/08/1992,680,US,USD,unemployed,422202,demographic,separated,TX,San Antonio,04/05/2015,Male
85084480,28/12/2001,282,US,USD,self-employed,489200,behavioral,married,AL,Birmingham,08/08/2020,Female
38398532,27/05/2001,745,US,USD,self-employed,1326938,behavioral,separated,GA,Valdosta,06/14/2018,Female
94387893,10/07/2000,203,US,USD,salaried,501839,demographic,married,PA,Philadelphia,01/02/2018,Male
74927077,14/09/1999,399,US,USD,employed,947135,Standard,separated,AR,North Little Rock,11/28/2017,Male
76422249,16/07/1997,295,US,USD,self-employed,1213636,Standard,married,GA,Gainesville,07/10/2015,Female
73599088,07/01/1992,582,US,USD,unemployed,613168,psychographic,married,CO,Colorado Springs,01/08/2016,Male
76284615,31/10/1990,9,US,USD,self-employed,654577,geographic,separated,OH,Akron,04/13/2017,Female
55508308,14/07/1992,898,US,USD,unemployed,855029,geographic,single,GA,Columbus,06/13/2018,Male
49399187,12/01/1995,442,US,USD,employed,872012,demographic,married,TN,Memphis,12/26/2015,Male
